# t, p_1, p_2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, total_co2
  0.000E+00,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  0.000E+00,  1.729E-05,  4.419E-06,  0.000E+00,  8.731E-05
  6.000E+02,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  0.000E+00,  1.729E-05,  4.419E-06,  0.000E+00,  2.862E-04
  1.200E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  1.880E-07,  2.863E-05,  5.188E-06,  0.000E+00,  4.947E-04
  1.800E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  9.156E-06,  1.503E-04,  8.218E-06,  0.000E+00,  7.042E-04
  2.400E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  2.539E-05,  3.023E-04,  1.116E-05,  0.000E+00,  9.134E-04
  3.000E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  4.638E-05,  4.709E-04,  1.610E-05,  0.000E+00,  1.123E-03
  3.600E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  6.138E-05,  6.526E-04,  1.944E-05,  0.000E+00,  1.332E-03
  4.200E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  7.895E-05,  8.324E-04,  2.035E-05,  0.000E+00,  1.541E-03
  4.800E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  9.909E-05,  1.011E-03,  3.413E-05,  0.000E+00,  1.750E-03
  5.400E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  1.233E-04,  1.185E-03,  1.211E-04,  0.000E+00,  1.960E-03
  6.000E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  1.487E-04,  1.359E-03,  2.363E-04,  0.000E+00,  2.170E-03
  6.600E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  1.713E-04,  1.491E-03,  3.193E-04,  0.000E+00,  2.369E-03
  7.200E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  1.840E-04,  1.583E-03,  3.648E-04,  0.000E+00,  2.492E-03
  7.800E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  1.937E-04,  1.644E-03,  3.934E-04,  0.000E+00,  2.592E-03
  8.400E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  1.979E-04,  1.690E-03,  4.083E-04,  0.000E+00,  2.754E-03
  9.000E+03,  1.111E+05,  1.052E+05,  0.000E+00,  0.000E+00,  2.508E-05,  5.423E-06,  0.000E+00,  2.021E-04,  1.735E-03,  4.218E-04,  0.000E+00,  3.014E-03
